Fecha,NivelEmbalse
2023-09-17,13668805199.5
2023-09-18,13629038962.0
2023-09-19,13652333327.6
2023-09-20,13605124605.699999
2023-09-21,13538957235.9
2023-09-22,13483318435.0
2023-09-23,13419089325.4
2023-09-24,13344391725.800001
2023-09-25,13302711245.0
2023-09-26,13312810115.1
2023-09-27,13246430818.6
2023-09-28,13196391986.0
2023-09-29,13121042762.7
2023-09-30,13059843090.6
2023-10-01,13003772486.8
2023-10-02,12940306002.5
2023-10-03,12959464553.8
2023-10-04,12920862772.5
2023-10-05,12873364248.3
2023-10-06,12859894572.0
2023-10-07,12830923936.0
2023-10-08,12810668102.0
2023-10-09,12832827812.1
2023-10-10,12892561705.0
2023-10-11,12861337420.0
2023-10-12,12853487463.0
2023-10-13,12837233305.699999
2023-10-14,12791337352.7
2023-10-15,12741477836.5
2023-10-16,12737278691.9
2023-10-17,12733033162.2
2023-10-18,12720626296.699999
2023-10-19,12694251097.7
2023-10-20,12649582399.800001
2023-10-21,12596741038.7
2023-10-22,12537958089.3
2023-10-23,12507047147.300001
2023-10-24,12496181233.9
2023-10-25,12493225137.9
2023-10-26,12539863496.8
2023-10-27,12547082665.0
2023-10-28,12604418306.800001
2023-10-29,12650175525.9
2023-10-30,12656000772.0
2023-10-31,12694678181.4
2023-11-01,12728387572.800001
2023-11-02,12785491307.300001
2023-11-03,12629782173.4
2023-11-04,12754116277.8
2023-11-05,12845864459.5
2023-11-06,12941279079.4
2023-11-07,12976720003.9
2023-11-08,13012952595.0
2023-11-09,13037656727.0
2023-11-10,13003992620.5
2023-11-11,12969976608.4
2023-11-12,12976558707.4
2023-11-13,12978134518.0
2023-11-14,13030806120.6
2023-11-15,13033064368.0
2023-11-16,13037049955.1
2023-11-17,13117905636.1
2023-11-18,13106071983.6
2023-11-19,13111138406.8
2023-11-20,13184579360.199999
2023-11-21,13266186055.3
2023-11-22,13309327688.9
2023-11-23,13310546838.5
2023-11-24,13281419398.0
2023-11-25,13229201086.699999
2023-11-26,13194543780.699999
2023-11-27,13192898032.199999
2023-11-28,13169217558.1
2023-11-29,13119043363.6
2023-11-30,13067807903.8
2023-12-01,13024773323.6
2023-12-02,12986549350.6
2023-12-03,12938070790.3
2023-12-04,12905160467.3
2023-12-05,12888215135.7
2023-12-06,12831266421.9
2023-12-07,12775043660.1
2023-12-08,12720767840.2
2023-12-09,12680177246.1
2023-12-10,12665841923.6
2023-12-11,12633485262.5
2023-12-12,12637086128.42
2023-12-13,12658760609.4
2023-12-14,12568616358.6
2023-12-15,12513992650.9
2023-12-16,12445516616.0
2023-12-17,12405577217.199999
2023-12-18,12415048685.6
2023-12-19,12476684828.6
2023-12-20,12460828701.8
2023-12-21,12430431543.8
2023-12-22,12387461579.8
2023-12-23,12350875525.0
2023-12-24,12288008837.0
2023-12-25,12257518686.8
2023-12-26,12241767398.900002
2023-12-27,12244623662.1
2023-12-28,12230314866.8
2023-12-29,12215883730.0
2023-12-30,12237976050.5
2023-12-31,12252859049.3
2024-01-01,12221116870.0
2024-01-02,12185861718.0
2024-01-03,12161117766.0
2024-01-04,12100516210.0
2024-01-05,12036304468.0
2024-01-06,11965340360.0
2024-01-07,11885676824.0
2024-01-08,11826863264.0
2024-01-09,11770815672.0
2024-01-10,11707777476.0
2024-01-11,11628965808.0
2024-01-12,11556674852.0
