Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2022-07-13,54237105.269999996,97022763.6,68089514.77,219349383.64
2022-07-14,54624606.02,98358819.32,68344359.24,221327784.58
2022-07-15,55076540.33,98291059.35,68197278.24,221564877.92
2022-07-16,54304511.12,93808937.26,64823410.46,212936858.84
2022-07-17,51726267.15,81456625.36,60659839.96,193842732.47
2022-07-18,52212060.76,96103680.82000001,66721889.3,215037630.88
2022-07-19,54281781.47,96983215.0,67643955.72,218908952.19
2022-07-20,53578341.96,88434864.4,64078502.83,206091709.19
2022-07-21,53750032.11,97341687.69,67974547.93,219066267.73
2022-07-22,54250645.01,98030402.34,67566400.64,219847447.99
2022-07-23,53797604.74,92608633.76,63452174.84,209858413.34
2022-07-24,50126589.11,80028649.07,60485018.38,190640256.56
2022-07-25,52158196.68,95294454.7,66632458.61,214085109.99
2022-07-26,54010135.26,95533204.62,66836992.2,216380332.08
2022-07-27,53872423.42,96556910.18,66627449.56,217056783.16
2022-07-28,53665220.29,94574161.4,65631641.660000004,213871023.35
2022-07-29,53656522.56,98129364.92,68156804.85,219942692.33
2022-07-30,53884810.34,94358281.23,65333023.23,213576114.8
2022-07-31,51305611.44,80764949.22,61180329.21,193250889.87
2022-08-01,52723868.23,95855642.07000001,66718189.34,215297699.64000002
2022-08-02,53679819.76,94573806.2,65727450.76,213981076.72
2022-08-03,53336016.86,94786442.27,66712869.94,214835329.07
2022-08-04,53677556.4,96782469.42999999,67941256.32,218401282.15
2022-08-05,54697309.65,96318615.92999999,66306128.089999996,217322053.67
2022-08-06,52761362.14,90116692.17,62866912.4,205744966.71
2022-08-07,49125786.07,80619414.8,60769885.78,190515086.65
2022-08-08,51848738.64,97777193.46,68687421.54,218313353.64
2022-08-09,55083924.19,98403519.82,67656067.66,221143511.67
2022-08-10,53950389.1,96593222.9,67494937.34,218038549.34
2022-08-11,54355465.11,97509187.88,67957890.22,219822543.21
2022-08-12,54745737.35,98284909.48,67258185.66,220288832.49
